Title,Views,Upload_Date,Likes,Comments,Description
सरकारको आलोचना गर्नु अपराध होइन | Digital Dictatorship,5381,2025-02-07,835,12,"सरकारको आलोचना गर्नु अपराध होइन | Digital Dictatorship

#letusspeak 
#revisesocialmediabill"
Freedom Of Speech is not for sale,7952,2025-02-06,931,9,"An unjust law is no law at all

#letusspeak 
#revisesocialmediabill"
An unjust law is no law at all,11054,2025-02-05,1996,51,"An unjust law is no law at all
#LetUsSpeak
#ReviseSocialMediaBill"
Digital Dictatorship | Social Media Bill EXPLAINED,96827,2025-02-04,7862,483,"This bill doesn’t just target creators—it impacts everyday people in their daily lives. Its vague language means you could face arrest simply for sharing, engaging with, or even liking a post. This isn’t just about control; it’s a move toward autocracy, undermining the very essence of democracy.

We must fight back on all fronts. Engage with this content, spread the word, and share it as widely as you can. Stand up for free speech and democracy—let’s make sure our voices are heard.

We might have differences but this is the time we call come together. 
Videos on same topic:
@ProjectKura : https://youtu.be/napg1MYux2A?si=Z1gFdw9xymvDJfK9
@INDepthStory : https://youtu.be/XQVMtBQu0jM?si=Vvyc62V-fLq3lO44
@WhySoOffended: https://youtu.be/IuG7yVZ5YEk?si=Aaqa7TCMsMD23bQ3 
@MisguidedNepal : https://youtu.be/0rKjWa5OmLw?si=vfUmFuIKlma9zy3N

The Bill in Discussion:
https://na.parliament.gov.np/uploads/attachments/0qbicazidgmddi9n.pdf

Birat Cancer Institute is offering a 25% discount on cancer screening tests until February 28, 2025.
Patients can avail of this offer by mentioning the promo code AASHA2025 during registration or by presenting a rally coupon. No prior appointment is required.
For more information, please contact 9851153692.

Edited by:
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

If you are on Facebook: https://www.facebook.com/TheNepaliComment
If you are on Instagram: https://www.instagram.com/thenepalicomment
If you are on Twitter: https://twitter.com/NepaliComment

Timestamps:
0:00 Prolouge
0:31 Vagueness of the Bill
1:01 Tonald Drump on Bombing Nepal
1:14 Yubaraj Asafal on Federalism
2:13 Major Problems with the Bill
2:34 KP Deuba on Inflation
3:35 Advertisement - Birat's 25% Discount on Cancer Screening
4:35 Penalties as per the Bill
7:22 Overcriminalization of anonymity
9:00 Our trust on the Government 
11:40 Namuna Laws 
15:08 How to regulate Social Media?
17:30 We are guilty too
18:02 Why So Offended - Binayak Kuikel
18:23 InDepth Story - Sudip Bhai Subedi 
18:33 Project Kura - Saroj Karki 
18:41 Misguided Nepal - Amrit Thapa
18:50 Random Nepali - Rastra Bimochan Timalsina
19:21 Epilouge - Poem"
Maha Kumbh Mela | Explained in Nepali,152433,2025-02-02,4791,214,"400 million people—13 times the population of Nepal—gathering in one place to wash away their sins. Just this fact alone is astonishing. How is such a massive religious gathering planned? How is it managed? How do they make the world's largest religious human gathering possible?

Watch the video to understand how the MahaKumbh Mela is not just about religion but also about money and politics. Let us know what you think about it!

Sources: https://docs.google.com/document/d/1esgKyBmLHGozsI4oGVAUpkaD5ovVCWFASP-NxCv1gI8/edit?usp=sharing

Edited by:
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Researcher:
Shailesh Bashyal (https://www.instagram.com/shailesh._.b/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

If you are on Facebook: https://www.facebook.com/TheNepaliComment
If you are on Instagram: https://www.instagram.com/thenepalicomment
If you are on Twitter: https://twitter.com/NepaliComment"
The ULTIMATE GUIDE to Destroy Nepal,143084,2025-01-23,8510,781,"This is a tutorial on how to quickly destroy Nepal and bring this country to ruins. From supporting corruption to preventing unity, we’ve got the ultimate guide to chaos.

Watch the video to understand why we’re talking about destroying it.

(This is satire, by the way, in case you couldn’t tell.)

Edited by:
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

If you are on Facebook: https://www.facebook.com/TheNepaliComment
If you are on Instagram: https://www.instagram.com/thenepalicomment
If you are on Twitter: https://twitter.com/NepaliComment

Timestamps:

0:00 Intro 
00:27 Step 1 - Corruption is our Friend
01:29 Step 2 - One Season One Party
03:04 Step 3 - Be divided
03:45 Step 4 - Become a Blame Game Pro
04:50 Step 5 - Be Chatur
06:07 Step 6 - Only Talk 
 07:47 Step 7 - Let it Be
09:43 What should be our Prioritity"
Why British never Colonised Nepal? The Shocking Truth,156768,2025-01-17,4174,378,"As the British expanded their empire across the globe, even defeating mighty forces like the Marathas and the Sikhs, Nepal stood out as an exception. Was it the impenetrable Himalayan terrain, Nepal's fierce warriors, or a strategic decision by the British themselves?

In this video, we uncover the deeper historical, political, and geographic factors that kept Nepal free from British colonization, from the Anglo-Gorkha War to strategic trade policies and boundary disputes. 

Source: https://docs.google.com/document/d/1PxfTwpBKAJZNmJEXGWAgXPwpDLJtZt4v9PygjrP96IU/edit?usp=sharing

Birat Medical College Teaching Hospital has experienced surgeons and a multidisciplinary team to assist with neuro and spine surgeries. They provide comprehensive care for various neuro and spinal conditions.

For more information, contact:
📞 +977-9763500409 | 021-422601, 423182
Visit: https://bmcteachinghospital.com/


Edited by: Ankit Gautam (https://www.instagram.com/ankitgautam.12/)
Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

If you are on Facebook: https://www.facebook.com/TheNepaliComment
If you are on Instagram: https://www.instagram.com/thenepalicomment
If you are on Twitter: https://twitter.com/NepaliComment

Timestamps:

0:00 Intro
1:22 British Colony
1:49 Modern Colony
2:30 East-India Company
3:08 British Expansion 
3:41 Birat Medical College Teaching Hospital
4:53 British Interest
5:26 The Art of Colonization
6:50 Nepal’s Expansion
7:27 Clear Borders
8:10 Message to Nepal | Anglo-Nepal War
9:12 Post Sugauli Treaty
11:45 Bhimsen Thapa | Negotiation with British
13:20 Nepal Almost fought British Again
14:22 Entry of Jung Bahadur Rana
15:13 Ranas sold Wood to East India Company
16:21 Nepal-Tibet Relation | British Opportunity
17:08 Nepal’s Political Status in 1923
17:53 Ending Remarks"
Nepal’s Brain Drain wont STOP. Here’s what to do NEXT,136958,2025-01-12,4406,298,"The narrative across Nepal right now is clear: staying here feels like losing out on opportunities. Every day, thousands of Nepalis leave, most of them from the working class. It’s easy to think this migration is a problem we need to stop. But here’s the truth: migration of this nature has never stopped anywhere in the world.

So, what do we do next? Instead of fighting the inevitable, we need to embrace the power of the Nepali diaspora. By creating stronger connections with Nepalis abroad, we can explore how their skills, investments, and networks can benefit Nepal.
That said, while the diaspora has the potential to help, it’s not inherently so. How can we ensure their involvement truly uplifts Nepal? Watch the video to understand the opportunities and the challenges of turning migration into a force for positive change.

Edited by:
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

If you are on Facebook: https://www.facebook.com/TheNepaliComment
If you are on Instagram: https://www.instagram.com/thenepalicomment
If you are on Twitter: https://twitter.com/NepaliComment

Timestamps:
0:00 Intro
1:29 How is Diaspora formed
2:00 Stages of Diaspora
2:34 First Stage: Forming
4:41 Second Stage: Establishing
5:48 Third Stage: Established
8:08 Fourth Stage: Advancing
10:03 Fifth Stage: Matured
11:13 Challenges
12:48 Danger of Relation being Cut-off
13:48 Ending Remarks"
Inside the Secret World of Nepali Maoist,207915,2025-01-04,5034,455,"From 2052 to 2063, Nepal was engulfed in a brutal civil war between the Prachanda-led Maoists and the King-led Royal Nepali Army. This conflict claimed thousands of lives, displaced millions, and left an indelible mark on the nation’s history. But how did a rebel movement on such an unprecedented scale come to life?

In this video, we take you *inside the secret world of the Nepali Maoists* — uncovering how they planned, strategized, and motivated everyday citizens to join their cause. What drove them to challenge the monarchy, and how did they rally people under the vision of democracy?

Join us as we explore the human side of this conflict and the secrets behind one of Nepal’s most turbulent times.

Source: https://docs.google.com/document/d/1_pAudH6nYnGlNS_edtEPM6SfcZdSoFCrtICmeqqgix0/edit?usp=sharing

Edited by:
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

If you are on Facebook: https://www.facebook.com/TheNepaliComment
If you are on Instagram: https://www.instagram.com/thenepalicomment
If you are on Twitter: https://twitter.com/NepaliComment

Timestamps:
0:00 Intro
1:56 Maoist Structure
4:35 United Front
6:03 Hierarchy & Division
7:01 How Maoist Army Fought
9:04 Prachandapath
9:48 Strategic Changes
10:55 Stalemate
11:51 Fighters Were Human
12:27 Training and Use of Songs
13:20 Inclusiveness
13:51 War Planning
14:31 Ganeshpur Attack
16:10 Khara Attack
19:40 Pili Attack 
22:19 What we are actually saying 
23:29 Pradip Giri"
This is WHY we will go to MARS | The Nepali Comment,223367,2024-12-25,6472,393,"Everyone’s been saying it for years – Mars is our best shot at a second home. The red planet, the closest thing we’ve found to Earth, has become the ultimate gamble for humanity. For Elon Musk, it’s a trillion-dollar obsession. But what’s really at stake? Survival? Bragging rights? Or something bigger? Let’s dive into the story behind humanity’s boldest bet yet.

Sources: https://docs.google.com/document/d/1m8FsB7ToshhR2FW9IB0r6-S9c9JzSTzcFOaeTxJ3_AQ

Ultima Boom 181: https://bit.ly/49QRdZM

Edited by:
Arpit Thapa Magar (https://www.instagram.com/arpit_akkun/)
Gajun (https://www.instagram.com/jun_zzz_/)
Ankit Gautam (https://www.instagram.com/ankitgautam.12/)

Thumbnail by: Biphson Nepali (https://www.instagram.com/biphson_nepali/)

If you are on Facebook: https://www.facebook.com/TheNepaliComment
If you are on Instagram: https://www.instagram.com/thenepalicomment
If you are on Twitter: https://twitter.com/NepaliComment

Timestamps:

0:00 Intro
0:29 Civilization on Mars
2:06 Why Mars 
3:28 Ultima Boom 181
4:24  Why go
6:37 Lets go
8:35 Mars is dangerous
11:27 The Settlement
13:20 Cost  
14:04 Elon Baba
15:29 Expert Opinion"
